relation,cell,distance,policy,context_rate,mean_margin,n,mean_strength
element_atomic_number,stipulate_r1,d1,neutral,0.10344827586206896,-2.4479490477463295,116,11.537438672164392
element_atomic_number,stipulate_r1,d2,neutral,0.13793103448275862,-1.8538699478938663,116,12.060927292396283
element_atomic_number,stipulate_r1,d5,neutral,0.034482758620689655,-4.095764982289281,116,14.423138503370614
element_atomic_number,stipulate_r1,d20,neutral,0.07758620689655173,-3.2336380563933274,116,14.925396557511954
element_atomic_number,stipulate_r1,random,neutral,0.008620689655172414,-4.9693379402160645,116,16.264946246969288
element_atomic_number,stipulate_r2,d1,neutral,0.06896551724137931,-3.254662431519607,116,11.537438672164392
element_atomic_number,stipulate_r2,d2,neutral,0.11206896551724138,-2.575610982960668,116,12.060927292396283
element_atomic_number,stipulate_r2,d5,neutral,0.034482758620689655,-5.221489922753696,116,14.423138503370614
element_atomic_number,stipulate_r2,d20,neutral,0.02586206896551724,-4.707189757248451,116,14.925396557511954
element_atomic_number,stipulate_r2,random,neutral,0.0,-6.249889439549939,116,16.264946246969288
element_atomic_number,assert_r1,d1,neutral,0.33620689655172414,0.33990647875029467,116,11.537438672164392
element_atomic_number,assert_r1,d2,neutral,0.5517241379310345,3.510680083570809,116,12.060927292396283
element_atomic_number,assert_r1,d5,neutral,0.1206896551724138,-2.18487810266429,116,14.423138503370614
element_atomic_number,assert_r1,d20,neutral,0.0603448275862069,-2.4574741001786857,116,14.925396557511954
element_atomic_number,assert_r1,random,neutral,0.034482758620689655,-3.8467117671308846,116,16.264946246969288
element_atomic_number,assert_r2,d1,neutral,0.1810344827586207,-0.6945100488333866,116,11.537438672164392
element_atomic_number,assert_r2,d2,neutral,0.5,3.0313619251908928,116,12.060927292396283
element_atomic_number,assert_r2,d5,neutral,0.08620689655172414,-3.230147904363172,116,14.423138503370614
element_atomic_number,assert_r2,d20,neutral,0.017241379310344827,-3.8188460284265977,116,14.925396557511954
element_atomic_number,assert_r2,random,neutral,0.02586206896551724,-5.125670350831131,116,16.264946246969288
element_atomic_number,bare,d1,neutral,0.8017241379310345,3.7082941943201524,116,11.537438672164392
element_atomic_number,bare,d2,neutral,0.8879310344827587,5.988118911611623,116,12.060927292396283
element_atomic_number,bare,d5,neutral,0.7068965517241379,1.865789742305361,116,14.423138503370614
element_atomic_number,bare,d20,neutral,0.8103448275862069,1.9334175997766956,116,14.925396557511954
element_atomic_number,bare,random,neutral,0.7931034482758621,1.0186920988148656,116,16.264946246969288
element_atomic_number,explicit_stipulation,d1,neutral,1.0,7.062293825478389,116,11.537438672164392
element_atomic_number,explicit_stipulation,d2,neutral,1.0,8.246318718482708,116,12.060927292396283
element_atomic_number,explicit_stipulation,d5,neutral,1.0,7.841068826872727,116,14.423138503370614
element_atomic_number,explicit_stipulation,d20,neutral,1.0,7.350439466279129,116,14.925396557511954
element_atomic_number,explicit_stipulation,random,neutral,1.0,6.822487551590492,116,16.264946246969288
element_symbol,stipulate_r1,near,neutral,0.0,-6.259004075648421,118,15.01186377315198
element_symbol,stipulate_r1,random,neutral,0.0,-8.362589076413947,118,19.422777167821334
element_symbol,stipulate_r2,near,neutral,0.0,-7.367040731139102,118,15.01186377315198
element_symbol,stipulate_r2,random,neutral,0.00847457627118644,-10.004307229640121,118,19.422777167821334
element_symbol,assert_r1,near,neutral,0.00847457627118644,-5.096468763836359,118,15.01186377315198
element_symbol,assert_r1,random,neutral,0.00847457627118644,-7.360466585320942,118,19.422777167821334
element_symbol,assert_r2,near,neutral,0.0,-6.816668526600983,118,15.01186377315198
element_symbol,assert_r2,random,neutral,0.0,-9.036883790614242,118,19.422777167821334
element_symbol,bare,near,neutral,0.2288135593220339,-0.7287891517251225,118,15.01186377315198
element_symbol,bare,random,neutral,0.3474576271186441,-0.23745598227290785,118,19.422777167821334
element_symbol,explicit_stipulation,near,neutral,0.9830508474576272,2.1053930541216315,118,15.01186377315198
element_symbol,explicit_stipulation,random,neutral,0.9576271186440678,1.753403000912424,118,19.422777167821334
