relation,cell,n,context_rate,parametric_rate,other_rate,mean_margin
element_symbol,assert_r1_high_absent,118,0.025423728813559324,0.652542372881356,0.3220338983050847,-25.410065909563485
element_symbol,assert_r1_high_present,118,0.03389830508474576,0.9661016949152542,0.0,-24.65002806712005
element_symbol,assert_r1_low_absent,118,0.00847457627118644,0.576271186440678,0.4152542372881356,-28.369138414576902
element_symbol,assert_r1_low_present,118,0.0,1.0,0.0,-30.701713432699947
element_symbol,assert_r2_high_absent,118,0.03389830508474576,0.5508474576271186,0.4152542372881356,-24.419675180467507
element_symbol,assert_r2_high_present,118,0.03389830508474576,0.9661016949152542,0.0,-26.815572985148027
element_symbol,assert_r2_low_absent,118,0.00847457627118644,0.7627118644067796,0.2288135593220339,-29.062432838698566
element_symbol,assert_r2_low_present,118,0.0,1.0,0.0,-31.969875808489526
element_symbol,bare,118,0.0847457627118644,0.7711864406779662,0.1440677966101695,-14.48156611394074
element_symbol,irrelevant_assert,118,0.0,0.8813559322033898,0.11864406779661017,-32.4539584224507
element_symbol,irrelevant_stipulate,118,0.0,0.7711864406779662,0.2288135593220339,-32.01027013487735
element_symbol,orig_high,118,0.6440677966101694,0.3559322033898305,0.0,-0.1411835864438849
element_symbol,orig_low,118,0.00847457627118644,0.9830508474576272,0.00847457627118644,-27.708759687714657
element_symbol,stipulate_r1_high_absent,118,0.1864406779661017,0.6864406779661016,0.1271186440677966,-10.182156191033831
element_symbol,stipulate_r1_high_present,118,0.059322033898305086,0.8305084745762712,0.11016949152542373,-21.517269591153678
element_symbol,stipulate_r1_low_absent,118,0.17796610169491525,0.7627118644067796,0.059322033898305086,-14.874293493012251
element_symbol,stipulate_r1_low_present,118,0.06779661016949153,0.923728813559322,0.00847457627118644,-19.365257178322743
element_symbol,stipulate_r2_high_absent,118,0.06779661016949153,0.8983050847457628,0.03389830508474576,-15.802523051278065
element_symbol,stipulate_r2_high_present,118,0.05084745762711865,0.940677966101695,0.00847457627118644,-21.407628010895294
element_symbol,stipulate_r2_low_absent,118,0.0847457627118644,0.7966101694915254,0.11864406779661017,-14.739792654069804
element_symbol,stipulate_r2_low_present,118,0.0,0.8135593220338984,0.1864406779661017,-28.27902604361712
country_capital,assert_r1_high_absent,145,0.0,0.8344827586206897,0.16551724137931034,-27.382049884056222
country_capital,assert_r1_high_present,145,0.0,1.0,0.0,-29.594734878786678
country_capital,assert_r1_low_absent,145,0.0,0.8068965517241379,0.19310344827586207,-32.16456255994994
country_capital,assert_r1_low_present,145,0.0,0.8,0.2,-33.75232002282965
country_capital,assert_r2_high_absent,145,0.0,0.8068965517241379,0.19310344827586207,-30.009911817517775
country_capital,assert_r2_high_present,145,0.0,1.0,0.0,-31.43863616698775
country_capital,assert_r2_low_absent,145,0.0,0.8689655172413793,0.1310344827586207,-34.5819838723232
country_capital,assert_r2_low_present,145,0.0,0.9586206896551724,0.041379310344827586,-35.3348704512777
country_capital,bare,145,0.22758620689655173,0.6827586206896552,0.0896551724137931,-9.344231105672902
country_capital,irrelevant_assert,145,0.006896551724137931,0.8896551724137931,0.10344827586206896,-33.66345204484874
country_capital,irrelevant_stipulate,145,0.0,0.9517241379310345,0.04827586206896552,-33.60107074996521
country_capital,orig_high,145,0.027586206896551724,0.9724137931034482,0.0,-19.3565910701094
country_capital,orig_low,145,0.034482758620689655,0.9448275862068966,0.020689655172413793,-15.780134250377786
country_capital,stipulate_r1_high_absent,145,0.027586206896551724,0.8,0.1724137931034483,-26.83598092465565
country_capital,stipulate_r1_high_present,145,0.013793103448275862,0.9655172413793104,0.020689655172413793,-28.680142085511108
country_capital,stipulate_r1_low_absent,145,0.027586206896551724,0.7862068965517242,0.18620689655172415,-28.946749720080145
country_capital,stipulate_r1_low_present,145,0.013793103448275862,0.9103448275862069,0.07586206896551724,-32.581175083949645
country_capital,stipulate_r2_high_absent,145,0.013793103448275862,0.8344827586206897,0.15172413793103448,-26.996370776562856
country_capital,stipulate_r2_high_present,145,0.006896551724137931,0.993103448275862,0.0,-28.57612653682972
country_capital,stipulate_r2_low_absent,145,0.006896551724137931,0.8620689655172413,0.1310344827586207,-30.41890779877531
country_capital,stipulate_r2_low_present,145,0.0,0.8275862068965517,0.1724137931034483,-33.19137702070434
