relation,cell,distance,policy,context_rate,mean_margin,n,mean_strength
element_atomic_number,stipulate_r1,d1,neutral,0.043478260869565216,-7.7458008475925615,115,15.603508393660835
element_atomic_number,stipulate_r1,d2,neutral,0.043478260869565216,-7.38801967786706,115,16.219251350734545
element_atomic_number,stipulate_r1,d5,neutral,0.09565217391304348,-8.449899889075239,115,19.717862203846806
element_atomic_number,stipulate_r1,d20,neutral,0.2,-6.126552813986073,115,21.36034041694973
element_atomic_number,stipulate_r1,random,neutral,0.1391304347826087,-6.426444940981658,115,21.98283461695132
element_atomic_number,stipulate_r2,d1,neutral,0.09565217391304348,-7.478315718277641,115,15.603508393660835
element_atomic_number,stipulate_r2,d2,neutral,0.043478260869565216,-7.522854232788086,115,16.219251350734545
element_atomic_number,stipulate_r2,d5,neutral,0.06956521739130435,-9.304034324314284,115,19.717862203846806
element_atomic_number,stipulate_r2,d20,neutral,0.10434782608695652,-8.382146752398947,115,21.36034041694973
element_atomic_number,stipulate_r2,random,neutral,0.06956521739130435,-9.136157342661981,115,21.98283461695132
element_atomic_number,assert_r1,d1,neutral,0.6956521739130435,4.458619441156802,115,15.603508393660835
element_atomic_number,assert_r1,d2,neutral,0.8347826086956521,8.062589180987814,115,16.219251350734545
element_atomic_number,assert_r1,d5,neutral,0.5217391304347826,2.471065504654594,115,19.717862203846806
element_atomic_number,assert_r1,d20,neutral,0.5565217391304348,5.389129738185717,115,21.36034041694973
element_atomic_number,assert_r1,random,neutral,0.24347826086956523,-1.5027894393257473,115,21.98283461695132
element_atomic_number,assert_r2,d1,neutral,0.5391304347826087,1.8480803614077361,115,15.603508393660835
element_atomic_number,assert_r2,d2,neutral,0.7391304347826086,6.217612241662067,115,16.219251350734545
element_atomic_number,assert_r2,d5,neutral,0.3565217391304348,-0.982880915766177,115,19.717862203846806
element_atomic_number,assert_r2,d20,neutral,0.48695652173913045,2.5610430344291357,115,21.36034041694973
element_atomic_number,assert_r2,random,neutral,0.17391304347826086,-5.587938258958899,115,21.98283461695132
element_atomic_number,bare,d1,neutral,0.7217391304347827,5.731344786934231,115,15.603508393660835
element_atomic_number,bare,d2,neutral,0.8782608695652174,9.38686986176864,115,16.219251350734545
element_atomic_number,bare,d5,neutral,0.6260869565217392,4.536047014982804,115,19.717862203846806
element_atomic_number,bare,d20,neutral,0.6347826086956522,6.89669768291971,115,21.36034041694973
element_atomic_number,bare,random,neutral,0.33043478260869563,0.2512291286302649,115,21.98283461695132
element_atomic_number,explicit_stipulation,d1,neutral,1.0,15.198081356546153,115,15.603508393660835
element_atomic_number,explicit_stipulation,d2,neutral,1.0,15.7311488441799,115,16.219251350734545
element_atomic_number,explicit_stipulation,d5,neutral,1.0,15.762109043287195,115,19.717862203846806
element_atomic_number,explicit_stipulation,d20,neutral,1.0,16.026503687319547,115,21.36034041694973
element_atomic_number,explicit_stipulation,random,neutral,1.0,16.39085001738175,115,21.98283461695132
element_symbol,stipulate_r1,near,neutral,0.2627118644067797,-5.6848701541706665,118,29.613806191137282
element_symbol,stipulate_r1,random,neutral,0.211864406779661,-10.781459278979543,118,34.72279006343777
element_symbol,stipulate_r2,near,neutral,0.15254237288135594,-9.678620641514406,118,29.613806191137282
element_symbol,stipulate_r2,random,neutral,0.1016949152542373,-16.156286251747,118,34.72279006343777
element_symbol,assert_r1,near,neutral,0.0423728813559322,-17.84883427215835,118,29.613806191137282
element_symbol,assert_r1,random,neutral,0.01694915254237288,-26.21377273737374,118,34.72279006343777
element_symbol,assert_r2,near,neutral,0.0847457627118644,-19.28546855005167,118,29.613806191137282
element_symbol,assert_r2,random,neutral,0.059322033898305086,-25.017665390240943,118,34.72279006343777
element_symbol,bare,near,neutral,0.09322033898305085,-11.686896501961401,118,29.613806191137282
element_symbol,bare,random,neutral,0.11864406779661017,-14.244764748266189,118,34.72279006343777
element_symbol,explicit_stipulation,near,neutral,1.0,17.902172888739635,118,29.613806191137282
element_symbol,explicit_stipulation,random,neutral,0.9915254237288136,18.098005650407178,118,34.72279006343777
country_capital,stipulate_r1,near,neutral,0.13286713286713286,-17.661416562287123,143,29.979415632315447
country_capital,stipulate_r1,random,neutral,0.027972027972027972,-26.65159406070109,143,39.81841321654253
country_capital,stipulate_r2,near,neutral,0.11188811188811189,-19.803743619185227,143,29.979415632315447
country_capital,stipulate_r2,random,neutral,0.013986013986013986,-26.88512956595921,143,39.81841321654253
country_capital,assert_r1,near,neutral,0.04195804195804196,-22.234902373143843,143,29.979415632315447
country_capital,assert_r1,random,neutral,0.0,-27.57223539669197,143,39.81841321654253
country_capital,assert_r2,near,neutral,0.04195804195804196,-24.191127648720375,143,29.979415632315447
country_capital,assert_r2,random,neutral,0.0,-30.166294043610147,143,39.81841321654253
country_capital,bare,near,neutral,0.15384615384615385,-12.498571615952711,143,29.979415632315447
country_capital,bare,random,neutral,0.27972027972027974,-8.291105157011872,143,39.81841321654253
country_capital,explicit_stipulation,near,neutral,1.0,25.320286410671848,143,29.979415632315447
country_capital,explicit_stipulation,random,neutral,1.0,27.139284964208002,143,39.81841321654253
